person_id,institution,program,start_date,location,standardized_program,education_year
27060,the george washington university,bachelors in integrated information science and technology,05/17,"ashburn, va",General Science,
27061,university of calgary,master of education in research,06/14,"calgary, ab",Other Education,
27061,university of calgary,graduate diploma in education,06/13,"calgary, ab",Other Education,
27061,university of calgary,graduate certificate in education,06/12,"calgary, ab",Other Education,
27061,university of british columbia,bachelor of education in generalist k,06/10,"vancouver, bc",Other Education,
27061,simon fraser university,bachelor of arts in psychology,04/08,"burnaby, bc",Other Education,
27062,mount mercy university,m.b.a. in quality management,2016/00,,Information Technology,2016
27062,mount mercy university,m.b.a. in is time better spent,2013/00,,Other Education,2013
27063,texas wesleyan university,bachelor of computer science,12/16,"fort worth, tx",Computer Science,
27064,lubbock christian university,bachelor of science,2014,,General Science,2014
27065,barnsdall high school,information technology,,,Information Technology,
27066,the university of texas at dallas,"m.s., information technology in management",08/16,"dallas, tx",Information Technology,
27066,west bengal university of technology,b tech in information technology,06/08,,Information Technology,
27067,carroll college,computer information systems,09/11,"helena, mt",Other Education,
27068,itt tech,associates in network system administrator,08/12,"maumee, oh",Other Education,
27069,christopher columbus high school,regent diploma in computer science,09/08,"bronx, ny",Computer Science,
27070,rochester institute of technology,bachelor of science in business administration,09/11,"rochester, ny",Business Administration,
27071,devry university,bachelor of science in computer information systems,04/14,"addison, il",General Science,
27072,"syracuse university, college of visual performing arts",b.a. in communication and rhetorical studies,05/16,syracuse,Other Education,
27073,rutgers university business school,bs in business analytics and information technology,05/17,"new brunswick, nj",Information Technology,
27074,full sail university,b.s. in game design,06/12,june 2012 to june 2015,Other Education,
27075,university of wisconsin - madison,masters in project management,04/13,"madison, wi",Other Education,
27075,university of wisconsin - madison,bachelor of science in economics,05/09,"madison, wi",General Science,
27076,moscow state lomonosov university,master of applied mathematics and informatics in mathematical economics and operations research,12/12,,Mathematics,
27076,moscow state lomonosov university,bachelor of applied mathematics and informatics in statistics,06/10,,Mathematics,
27077,chatham university,master of business administration in business administration,2012,"pittsburgh, pa",Business Administration,2012
27078,rowan university,bachelor of science in computer science,,"glassboro, nj",Computer Science,
27079,the graduate center of the city university of new york,"master of philosophy, abd in philosophy",,"new york, ny",Other Education,
27080,penn state university world campus,master of systems engineering,01/13,,Other Education,
27080,trine university,b.s. in computer science,03/07,"angola, in",Computer Science,
27081,chatham university,master of business administration in business administration,2012,"pittsburgh, pa",Business Administration,2012
27082,auburn university,bachelors of industrial design,,"auburn, al",Other Education,
27083,oakland university,bachelor of science in management information systems,04/17,"rochester, mi",General Science,
27084,university of michigan,"bachelor of arts in brain, behavior and cognitive science french and francophone studies",09/2009,"ann arbor, mi",Information Technology,2009
27084,university of michigan,master of science in information education,09/2012,"ann arbor, mi",General Science,2012
27085,florida state university,master s in geophysical information science,08/13,"tallahassee, fl",General Science,
27085,florida state university,bachelor s in geography,09/11,"tallahassee, fl",Other Education,
27085,florida state university,associates in geography,09/08,"tallahassee, fl",Other Education,
27086,florida international university,bachelor s degree in it,08/17,"miami, fl",Information Technology,
27086,miami lakes educational center,high school diploma,08/13,"miami lakes, fl",Other Education,
27087,rasmussen college,bachelor s in information system management,01/11,"ocala, florida",Other Education,
27088,florida state university,bachelor of science in management information systems,06/15,"tallahassee, fl",General Science,
27089,university of florida,bachelor of arts in english,09/09,"gainesville, fl",Other Education,
27090,george washington university,master of public health in global health,08/12,,Other Education,
27090,carnegie mellon university,bachelor of science in chemical biomedical engineering,08/06,,General Science,
27091,university of nebraska - lincoln,bachelor of science in business administration in finance,05/17,"lincoln, ne",Business Administration,
27092,unc charlotte,full stack web development,09/2018,"charlotte, nc",Other Education,2018
27093,university of south florida,b.s. in mechanical engineering,09/07,"tampa, fl",Mechanical Engineering,
27094,university of north carolina wilmington,bachelor of arts in communications,,"wilmington, nc",Other Education,
27095,bowling green state university,bachelor of science in business administration,08/09,"bowling green, oh",Business Administration,
27096,university of illinois at urbana - urbana-champaign,b.s. in general engineering,,il,Other Education,
27097,the ohio state university,bachelor of arts in international relations diplomacy,09/10,"columbus, oh",Other Education,
27098,university of illinois at chicago uic - liautaud graduate school of business,master of science in management information systems,12/16,"chicago, il",General Science,
27098,sardar patel institute of technology,bachelor of engineering in electronics and telecommunication engineering,05/14,"mumbai, maharashtra",Electronics Engineering,
27099,andhra university,bachelor of engineering in electronics and communications engineering,07/2007,"hyderabad, andhra pradesh",Electronics Engineering,2007
27100,auburn university,master of science in management information systems,12/13,"auburn, al",General Science,
27100,valdosta state university,bachelor of science in business education,12/10,"valdosta, ga",General Science,
27100,valdosta state university,bachelor of science in computer information systems,05/10,"valdosta, ga",General Science,
27100,waycross college,associate of science in education,05/07,"waycross, ga",General Science,
27101,georgia state university college of law,juris doctor,08/2011,"atlanta, ga",Other Education,2011
27101,calvin college,bachelor of arts in philosophy,08/2005,"grand rapids, mi",Other Education,2005
27102,"georgia institute of technology, scheller college of business",bachelor of science in business administration,05/18,"atlanta, ga",Business Administration,
27103,penn state university,information science and technology,08/10,"university park, pa",General Science,
27104,university of wisconsin - platteville,master of science in project management,05/12,"platteville, wi",General Science,
27104,university of wisconsin - madison,bachelor of business administration in real estate,05/04,"madison, wi",Business Administration,
27105,northeastern university,bachelor of science in information science business,09/2006,"boston, ma",General Science,2006
27106,northeastern university,ms,2007/,"santa cruz, ca",Other Education,2007
27106,connecticut college,ba in english,2016/,"santa cruz, ca",Other Education,2016
27107,villanova university,masters certificate in project management in pmi/capm-based curriculum,,"villanova, pa",Other Education,
27107,devry university,bachelor of science in technical management in business information,,"downers grove, il",General Science,
27108,liberty university,masters of business administration in project management,12/16,"lynchburg, va",Business Administration,
27108,liberty university,bachelor of science in business management information systems in business management information systems,05/13,"lynchburg, va",General Science,
27108,lynchburg college,bachelor of arts in accounting in computer science,08/05,"lynchburg, va",Computer Science,
27108,central virginia community college,associates degree in business administration in business administration,05/93,"lynchburg, va",Business Administration,
27109,chattanooga state technical community college,a.a. in english,2007,"chattanooga, tn",Other Education,2007
27110,western governors university,bachelor s degree in information technology,01/2015,,Information Technology,2015
27110,monroe community college,business administration,05/2010,,Business Administration,2010
27111,middle tennessee state university,bachelor s in organizational management,05/2007,"chattanooga, tn",Other Education,2007
27111,chattanooga state technical community college,a.a. in english,2007,"chattanooga, tn",Other Education,2007
27112,"texas tech university, rawls college of business",bachelor of business administration in information technology - cyber security,12/18,"lubbock, tx",Information Technology,
27112,university of new york in prague,bachelor s in bba management,01/17,"prague, cz",Other Education,
27113,the university of akron,bachelor of science in marketing,1995,,General Science,1995
27114,north eastern illinois university,ba in human resource development,06/06,,Other Education,
27115,regis university,master of science in computer information technology in software engineering and object-oriented design,08/YY,"denver, co",Computer Science,
27115,metropolitan state university,bachelor of science in computer information systems in computer information systems,08/YY,"denver, co",General Science,
27117,william paterson university,project management professional,,,Other Education,
27118,carleton university,doctor of philosophy in management,2010/09,"ottawa, on",Other Education,2010
27118,brock university,master of science in computer science,2007/09,"st. catharines, on",Computer Science,2007
27118,brock university,bachelor s in computing in business,2001/09,"st. catharines, on",Other Education,2001
27119,wilmington university,master s in business administration,01/15,"wilmington, de",Business Administration,
27119,university of delaware,bachelor s in economics,,"newark, de",Other Education,
27120,strayer university,bachelor in information technology in information technology,2014,,Information Technology,2014
27120,florida career college,associates,2011,,Other Education,2011
27121,longwood university,mathematics / computer science,,,Computer Science,
27122,georgia state university - j. mack robinson college,master of science in csm,08/2014,"atlanta, ga",General Science,2014
27122,"georgia state university - atlanta, ga",bachelors of arts in project management institute,08/2012,"atlanta, ga",Information Technology,2012
27123,bowling green state university,b.s.,08/2012,"bowling green, oh",Other Education,2012
27124,"national university, school of business and information management",mba in finance specialization,,,Business Administration,
27124,strayer university,bachelor of science in business administration,,"washington, dc",Business Administration,
27125,northwestern university,project management certification,2014/00,"chicago, il",Other Education,2014
27125,depaul university school of public service,master of public administration in public administration,2013/00,"chicago, il",Other Education,2013
27125,andrews university,bachelor of arts in political science,2011/00,"berrien springs, mi",Information Technology,2011
27126,barry university,bachelor of science in information technology,,"miami, fl",Information Technology,
27126,community college of the air force,associates of applied sciences in information systems management,,"montgomery, al",General Science,
27126,community college of the air force,associates of applied sciences in avionics systems technology,,"montgomery, al",General Science,
27128,northcentral university,phd in technology innovation,10/2017,,Other Education,2017
27128,university of massachusetts of lowell,master of business administration in information technology,01/2015,"lowell, ma",Information Technology,2015
27128,cambridge college,master s in management,12/2013,"cambridge, ma",Other Education,2013
27128,old dominion university,bachelor s in psychology and sociology,01/2012,"norfolk, va",Other Education,2012
27128,tidewater community college,associate in social science,12/2009,"portsmouth, va",General Science,2009
27129,strayer university-florida,bachelor s in business administration,01/19,"miami, fl",Business Administration,
27129,centre de formation professionnelle d ha ti,computer science,01/01,,Computer Science,
27130,"university of illinois at urbana - urbana, il",mba in north america,12/2017,"urbana, il",Business Administration,2017
27130,university of madras,bs in computer science,02/2009,,Computer Science,2009
27130,university of madras,ms - computer applications,09/2003,,Other Education,2003
27131,point park university,master s degree in intelligence and national security,09/1995,"pittsburgh, pa",Information Technology,1995
27131,university of west florida,bachelor of science in business administration,09/2004,"pensacola, fl",Business Administration,2004
27131,academy of paris,bachelor s in of science in economics and social science,09/1995,paris,General Science,1995
27132,capella university,bs in project management for businesses,2012,,Other Education,2012
27133,california state university - san bernardino,bachelor of arts in chemistry,08/2009,"san bernardino, ca",Other Education,2009
27134,academy of art university,bachelors of arts in multimedia communications,05/09,"san francisco, ca",Other Education,
27135,granite state college,master s in leadership with a project management concentration,09/2011,"concord, nh",Information Technology,2011
27135,norwich university,"bachelor s in business management, accounting and ms in leadership with a project management concentration",08/2004,"northfield, vt",Information Technology,2004
27136,uc berkeley,master of science in engineering,,,General Science,
27136,san jose state university,bachelors of engineering in vtu,,,Other Education,
27137,kaplan university,bs in management of information systems,2011,,Other Education,2011
27138,syracuse university,bachelor of science in chemical engineering,05/15,"syracuse, ny",General Science,
27139,lower columbia college,bachelor of science in computer science,,"longview, wa",Computer Science,
27140,villanova university,masters certificate in business process improvement,2011,,Other Education,2011
27140,harvard university,masters certificate in business management,2011,,Other Education,2011
27140,towson university,bs in english,,,Other Education,
27141,western governors university,bachelor of science in business in information technology management,2019,,Information Technology,2019
27142,strayer university,bachelor s in it project management,Present,"charlotte, nc",Information Technology,
27142,new york inst. of technology,bachelor s in computer technology sr. transferred,,"old westbury, ny",Other Education,
27143,utica college,ba in cybersecurity and information assurance,2018,,Information Technology,2018
27143,northcentral university,mba in project management,2016,,Business Administration,2016
27143,suny empire college,"bs in business, management and economics - information systems",2012,,Other Education,2012
27143,borough of manhattan community college,aa in business administration,2009,,Business Administration,2009
27144,university of san francisco,bachelor of science in information systems,,"san francisco, ca",General Science,
27145,university of texas san antonio,bachelor of business administration in business administration,,"san antonio, tx",Business Administration,
27147,western governor s university,masters in business administration,,"salt lake city, ut",Business Administration,
27147,san jose state university,b.a. in comparative religious studies / philosophy,,"san jose, ca",Other Education,
27148,interamerican university,ba,05/80,"san juan, pr",Other Education,
27149,university of illinois urbana,bachelor of science in technical systems management,09/09,"urbana, il",General Science,
27150,city university london,post graduate diploma in business systems analysis and design,2013,,Other Education,2013
27150,london metropolitan university,graduate certificate in business information technology,2012,,Information Technology,2012
27151,"university of north texas - denton, tx",bachelors in science in business computer information systems,01/12,"denton, tx",General Science,
27152,"university of north texas - denton, tx",bachelors in science in business computer information systems,01/12,"denton, tx",General Science,
27154,wholistic university,associate of science in naturopathic medicine,01/16,"atlanta, ga",General Science,
27155,thomas edison state university,bachelor of science in business administration in organizational management,08/15,"trenton, nj",Business Administration,
27156,vocational training development institute,diploma in information and communication technology,09/2005,kingston,Other Education,2005
27157,university of hartford,m.s. in organizational psychology,2013/00,"west hartford, ct",Other Education,2013
27157,boston university,b.a. in psychology,2006/00,"boston, ma",Other Education,2006
27158,university of phoenix,m.b.a. in global management,06/06,"san diego, ca",Other Education,
27158,alliant international university,b.a. in international relations,06/03,"san diego, ca",Other Education,
27159,strayer university,bachelor of science in information systems,03/2015,,General Science,2015
27160,the university of texas at austin,b.a. in philosophy and mathematics,09/09,"austin, tx",Mathematics,
27161,new england college of business and finance,mba in management,2014,"boston, ma",Business Administration,2014
27161,new england college of business and finance,bachelor of science in business administration,2012,"boston, ma",Business Administration,2012
27162,"j s college of engineering, pune university",bachelor of engineering in information technology,06/2003,"pune, maharashtra",Information Technology,2003
27163,elon university,"bachelor of arts in international relations, political science, public administration",05/11,"elon, nc",Information Technology,
27165,west chester university of pennsylvania,bachelor s in accounting and finance,08/2012,"west chester, pa",Other Education,2012
27166,arizona state university,ed.d. in transformational leadership,,"phoenix, az",Other Education,
27166,pepperdine university,"ms, computer science in information systems",,"malibu, ca",Computer Science,
27166,university of california,ba in education,,"los angeles, ca",Other Education,
27167,regis university,bachelors of science in project management,08/2016,,General Science,2016
27168,"college of engineering trivandrum, kerala university",bachelor of technology,,"thiruvananthapuram, kerala",Other Education,
27169,louisiana state university,bachelor of science,12/2012,,General Science,2012
27170,richland community college,ccna certification,08/12,"dallas, tx",Other Education,
27170,university of texas at dallas,b.s in electrical engineering,12/11,"dallas, tx",Electronics Engineering,
27171,virginia state university,masters of science in project management,12/13,"petersburg, va",General Science,
27171,virginia state university,bachelors of art in communication,12/12,"petersburg, va",Other Education,
27172,university of st. thomas,certificate in project management,,"minneapolis, mn",Other Education,
27172,st. paul college,aas in accounting,,"saint paul, mn",Other Education,
27173,our lady of the lake university,b.a. in business management,1989,"san antonio, tx",Other Education,1989
27174,universidad de los andes,master s in architecture of information technology,02/2012,"bogot , cundinamarca",Information Technology,2012
27174,universidad industrial de santander,project management specialist,03/2007,"bucaramanga, santander",Other Education,2007
27175,itt technical institute,bachelor of science,2015,"sylmar, ca",General Science,2015
27176,rowan university,bachelor s in advertising and marketing,09/2010,"glassboro, nj",Other Education,2010
27177,university of london,bachelor in information technology in information technology,05/17,,Information Technology,
27178,centro universitario senac,bachelor s in computer information systems,09/2009,sao paulo and rio de janeiro,Other Education,2009
27179,oklahoma state university,b.a. in political science,01/13,"tulsa, ok",Information Technology,
27179,pennsylvania state university,political science,09/09,"tulsa, ok",Information Technology,
27180,california polytechnic university of pomona,bachelor of science in business administration in computer information systems,08/12,"pomona, ca",Business Administration,
27181,northeastern illinois university,master s in business administration,06/18,"chicago, il",Business Administration,
27181,hitit university,b.s. in economics,,,Other Education,
27182,ucla,mba in finance,2000/00,"los angeles, ca",Business Administration,2000
27182,claremont mckenna college,b.a. in economics,2000/00,"claremont, ca",Other Education,2000
27183,arizona state university,b.s. in computer science,,,Computer Science,
27184,gerogia state university,bachelor s in computer information systems,08/2009,"atlanta, ga",Other Education,2009
27185,esm-a,master s in procurement,07/2014,"lognes, france",Other Education,2014
27185,esm-a,"master s in business administration, international managment",10/2012,"lognes, france",Business Administration,2012
27185,idrac,bachelor s in marketing business development,10/2011,"paris, france",Other Education,2011
27186,arizona state university,computer science,08/2013,tempe,Computer Science,2013
27186,mesa community college,associate in arts,08/2010,tempe,Other Education,2010
27187,university of phoenix,business management,,,Other Education,
27188,morgan state university,b.s. degree in information science systems,,,General Science,
27189,university of mary washington,bachelors in sociology,05/10,"fredericksburg, va",Other Education,
27190,davenport university,bachelors of science in global it project management,04/19,"grand rapids, mi",Information Technology,
27191,universidad tecnologica nacional,master in project management,04/15,mendoza,Other Education,
27191,universidad nacional de cuyo,ba in psychology,10/13,,Other Education,
27191,willamette university,ba in psychology,12/11,"salem, or",Other Education,
27192,bowen university,bachelor of science in computer science and information technology,09/13,"daytona beach, fl",Computer Science,
27193,"david eccles school of business, university of utah",mba in project management,04/14,,Business Administration,
27193,utah valley university,bs in physics,04/12,,Physics,
27194,rutgers university,"bachelor of arts in ba , finance",,"new brunswick, nj",Other Education,
27194,middlesex county college,"associate of science in as , computer science, networking",,"edison, nj",Computer Science,
27195,northcentral university,masters of science in industrial/organizational psychology,,"scottsdale, az",General Science,
27195,drexel university,bachelor of science in psychology,,"philadelphia, pa",General Science,
27196,"liberty university, school of computational sciences",bachelor of science in business management information systems,08/10,"lynchburg, va",General Science,
27197,florida state university,bachelor of science in industrial engineering,05/10,florida,General Science,
27198,california state university - chico,master of science degree in computer and software engineering,,ca,Computer Science,
27199,purdue university,master of science in technology,2015/00,usa,General Science,2015
27199,monterrey institute of technology and higher education,mba in marketing,2011/00,,Business Administration,2011
27199,espol,bachelor of science in computer engineering,2005/00,,General Science,2005
27200,virginia union university,bachelors of arts in biology,09/10,"union, va",Other Education,
27201,walden university,m.s. organizational psychology,01/10,"minneapolis, mn",Other Education,
27201,university of la verne,b.s. in psychology,05/95,"los angeles, ca",Other Education,
27202,strayer university,master of business administration in project management,12/2012,,Business Administration,2012
27202,strayer university,bachelor of science in international business management,06/2009,,General Science,2009
27203,university of houston,b.s. double major in organizational leadership and supervision and computer information systems,,"houston, tx",Other Education,
27204,"national university of ireland, galway.",masters in project management,09/2015,galway,Other Education,2015
27205,georgia state university,bba business administration,2019,,Business Administration,2019
27206,rhode island college,bachelor of science in elementary education/language arts,01/2001,"providence, ri",General Science,2001
27207,university of ulsan,be in computer science,,"ulsan, south korea",Computer Science,
27207,university of ulsan,master s in mechatronics/ it,,"ulsan, south korea",Information Technology,
27208,northcentral university,masters of science in industrial/organizational psychology,,"scottsdale, az",General Science,
27208,drexel university,bachelor of science in psychology,,"philadelphia, pa",General Science,
27209,universit de picardie jules verne,master s in information in systems and nomadic computing,10/2010,"amiens, fr",Other Education,2010
27209,university of douala,master s in computer engineering in computer engineering,10/2007,"douala, cm",Other Education,2007
27209,university of douala,associate in computer in computer,10/2003,"douala, cm",Other Education,2003
27210,western governors university,bachelor s degree in cybersecurity,Present,"columbus, oh",Information Technology,
27210,columbus state community college,computer science,06/2009,"columbus, oh",Computer Science,2009
27212,ucla,bachelor s degree in political science,2013,,Information Technology,2013
27214,sti college lipa,bachelor of science in information and technology,03/2010,36 c.m.recto ave. lipa city,General Science,2010
27215,kennesaw state university,masters of science in information technology in information technology,05/18,"atlanta, ga",Information Technology,
27215,spelman college,bachelor of arts in psychology in quantitative methods,12/13,"atlanta, ga",Information Technology,
27216,capella university,certificate,2013,,Other Education,2013
27216,boston university,certificate,2011,,Other Education,2011
27217,university of maryland university college,master of science in cybersecurity management policy,2020,"adelphi, md",Information Technology,2020
27217,columbia college,bachelor of science in management information systems,,"columbia, mo",General Science,
27218,villanova university,master certificate in project management,11/16,,Other Education,
27219,point park university,master s degree in intelligence and national security,,"pittsburgh, pa",Information Technology,
27219,university of west florida,bachelor of science in business administration,,"pensacola, fl",Business Administration,
27219,academy of paris,bachelor of science in economics and social studies,,"paris, fr",General Science,
27221,bellevue university,bachelors degree in computer information systems,,,Other Education,
27222,university of texas at arlington,bachelor of fine arts in fine arts,09/15,"arlington, tx",Other Education,
27222,university of texas at arlington,bachelor of science,09/15,"arlington, tx",General Science,
27223,tarrant county college,business,08/2004,august 2004 to may 2005,Other Education,2004
27223,paris junior college,business,08/2002,august 2002 to may 2004,Other Education,2002
27223,southwest high school,diploma,08/1997,august 1997 to may 2001,Other Education,1997
27224,california polytechnic university of pomona,bachelor of science in business in administration,08/12,"pomona, ca",General Science,
27225,california state university dominguez hills,bachelor of science in public administration in financial management,09/2002,dominguez hills,General Science,2002
27226,cetys universidad,mba in finance,09/15,"tijuana, mx",Business Administration,
27226,tecnologico de baja california university,bachelor of science in computer science and telecommunications engineering,09/02,,Computer Science,
27227,shepherd university,bachelor of science in business administration,05/11,may 2011,Business Administration,
27229,florida atlantic university,master of science in management information systems,12/16,"boca raton, fl",General Science,
27229,nova southeastern university,bachelor of business administration in computer information systems,05/15,"fort lauderdale, fl",Business Administration,
27230,wichita state university,bachelor of business administration in business administration,09/97,"wichita, ks",Business Administration,
27231,radford university,"bachelor of science bs , biology",,"radford, va",General Science,
27232,university of nebraska at omaha,bachelor of science in management of information systems,04/09,"omaha, ne",General Science,
27233,university of phoenix,bachelor of science in business management,,,General Science,
27234,california university of pennsylvania,bachelor of science information technology,09/16,"california, pa",Information Technology,
27236,memphis state university,bachelor in business administration,,,Business Administration,
27236,southwest university,m.s. in computer science,,,Computer Science,
27237,san antonio college,mathematics and physics,09/2009,"san antonio, tx",Mathematics,2009
27237,university of texas san antonio,electrical engineering,09/2003,"san antonio, tx",Electronics Engineering,2003
27239,bowie state university,master of public administration in strategic human resource management,2019,,Other Education,2019
27239,howard university,bachelor in business administration,2006,,Business Administration,2006
27240,montgomery community college,associate in crimnal justice,08/99,"troy, nc",Other Education,
27241,bagozzi,bachelor s in information technology,02/1999,curitiba,Information Technology,1999
27242,donetsk national university,bachelor degree in accounting and auditing,1996/08,"donetsk, ua",Information Technology,1996
27242,donetsk national technical university,master degree in computer science,1991/09,"donetsk, ua",Computer Science,1991
27243,western governors university,master of science in it management,2017/01,,Information Technology,2017
27243,university of memphis,bachelor of business administration in management of information systems,2009/01,"memphis, tn",Business Administration,2009
27243,southwest tennessee community college,associate of applied science in information technologies,2006/01,"memphis, tn",General Science,2006
27244,stanford university,certification,2019,,Other Education,2019
27244,john hopkins university,programming certification,2016,,Other Education,2016
27244,rice university,ms in finance,2013,,Other Education,2013
27244,boston university,bs in economics,2012,,Other Education,2012
27245,purdue university,bachelor of arts in sociology,09/12,,Other Education,
27246,point park university,master s degree in intelligence and national security,09/16,"pittsburgh, pa",Information Technology,
27246,university of west florida,bachelor of science in business administration,09/04,"pensacola, fl",Business Administration,
27247,central piedmont community college,associate in virtualization and cloud technologies,05/17,"charlotte, nc",Other Education,
27247,forestview high school,high school diploma in college prep,02/02,"gastonia, nc",Other Education,
27248,north maharashtra university,bachelor of engineering in computer science,2008/12,computer science,Computer Science,2008
27248,rose public school,cbse in board,2008/12,"bihar sharif, bihar",Other Education,2008
27248,st. paul secondary school,cbse in board,2006/12,"bihar sharif, bihar",Other Education,2006
27248,university of virginia uva,certification in it,2016/01,"charlottesville, va",Information Technology,2016
27249,temple university- fox school of business,bachelor of business administration in management information systems,01/11,"philadelphia, pa",Business Administration,
27250,george washington university,web development certificate,2018,"washington, dc",Other Education,2018
27250,texas southern university,"ba, journalism",,"houston, tx",Other Education,
27250,texas woman s university,mba,,"denton, tx",Business Administration,
27251,depaul university,ms in public service management,,,Other Education,
27252,california polytechnic university pomona,bachelor s degree in political science,,,Information Technology,
27253,itt technical institute,network system administration information technology,12/14,"norfolk, va",Information Technology,
27254,saint vincent college,bachelor of arts in philosophy in computer science,05/16,"latrobe, pa",Computer Science,
27254,pennsylvania highlands community college,associate of arts,05/14,"johnstown, pa",Other Education,
27255,calhoun community college,mcse career path,2003/09,"huntsville, al",Computer Science,2003
27256,florida international university - school of international public affairs,bachelor of science in criminal justice,08/2011,"miami, fl",General Science,2011
27256,miami dade community college,associates of science in computer information,08/2008,"miami, fl",General Science,2008
27257,ivy tech community college,associate of applied science in computer information technology,,"valparaiso, in",Information Technology,
27258,the university of north carolina,bachelor of arts degree in gis earth science,02/10,"greensboro, nc",General Science,
27259,plymouth state university,b.a. in film and media studies and market research,05/11,"plymouth, nh",Other Education,
27261,front range community college,associates of science in transfer credits,01/04,"longmont, co",Information Technology,
27262,universidad santa maria,bachelor s in science,09/2004,"caracas, distrito capital",General Science,2004
27263,central connecticut state university,bachelor of science in management information systems,2015,,General Science,2015
27263,capital community college,associate of science in business management,2013,,General Science,2013
27264,brown university,master in cybersecurity in cybersecurity,,,Information Technology,
27264,national polytechnic,master of science in telecommunication engineering in telecommunication engineering,,,General Science,
27265,portland community college,associate s degree in computer information systems,2004,"portland, or",Other Education,2004
27266,university of northern colorado,bachelor of arts in advertising and journalism in advertising/journalism,,"greeley, co",Other Education,
27267,suffolk university,mba,,"boston, ma",Business Administration,
27267,wheaton college,ba in economics,,"norton, ma",Other Education,
27268,west texas a m university,bachelor of business administration in business administration,,"west, tx",Business Administration,
27270,obafemi awolowo university,bachelor of science degree bsc in electronic and electrical in engineering,12/2010,,Electronics Engineering,2010
27271,university of minnesota-twin cities,master s abd in forestry/hydrology,01/94,"saint paul, mn",Other Education,
27271,grand valley state,bachelor s in political science,09/82,"allendale, mi",Information Technology,
27272,community college of rhode island,associates in information technology,,,Information Technology,
27273,university of phoenix,bba,,"ontario, ca",Other Education,
27274,prairie view a m university,masters of science in electrical engineering,01/04,"prairie view, tx",Electronics Engineering,
27274,prairie view a m university,bachelor of science in computer engineering technology,,"prairie view, tx",General Science,
27275,florida atlantic university,bachelors of business in management information systems,05/07,"boca raton, fl",Other Education,
27275,florida atlantic university,bachelors of business in marketing,05/07,"boca raton, fl",Other Education,
27275,nova southeastern university,masters of international business administration in international business administration,06/09,"davie, fl",Business Administration,
27275,key performance/florida atlantic university,six sigma green belt certification,02/10,"boca raton, fl",Other Education,
27276,golden gate university,m.s. in telecommunications management,,"san francisco, ca",Other Education,
27276,california state university,b.s. in computer science,,"hayward, ca",Computer Science,
27277,bryant university,project management professional,,"smithfield, ri",Other Education,
27278,north central college,mba in marketing,03/09,"naperville, il",Business Administration,
27278,north central college,ms in information systems,03/09,"naperville, il",Other Education,
27279,punjab university,bachelor of arts in english literature and psychology,,,Information Technology,
27280,university of texas at arlington,bba in business management and administration,1984/09,"arlington, tx",Other Education,1984
27280,ncsa,comptia a+ in information technology,2007/01,,Information Technology,2007
27281,florida state university,mba in information systems,05/16,"tallahassee, fl",Business Administration,
27281,johns hopkins university,post graduate degree in it management,05/15,"baltimore, md",Information Technology,
27281,frostburg state university,masters of science in digital communication,,"frostburg, md",Information Technology,
27282,florida atlantic university,bachelor of business administration in marketing,05/14,"boca raton, fl",Business Administration,
27283,middle tennessee state university,bachelor of science in information systems,,"murfreesboro, tn",General Science,
27283,volunteer state community college,associate of science in business,,"gallatin, tn",General Science,
27284,art institute,associate in design,03/01,"fort lauderdale, fl",Other Education,
27285,north carolina central university,b. s. in behavioral science,2016,,General Science,2016
27286,collin college,project management certificate,01/14,,Other Education,
27286,"university of texas at dallas - dallas, tx",bachelor of science in business administration,09/05,"dallas, tx",Business Administration,
27288,simon fraser university,bachelor s degree in gis in spatial analysis and human geography,03/14,2015,Other Education,
27288,edmonds community college,project management,,2013,Other Education,
27290,mississippi state university,bachelor of science in computer science,1992,mississippi,Computer Science,1992
27290,villanova university,lean six sigma,2012,online,Other Education,2012
27291,sinclair community college,associate of arts in liberal arts and sciences,,"dayton, oh",General Science,
27292,california state university,bachelor of science in business administration/ finance,,,Business Administration,
27293,isep,master degree in information technology computer sciences,09/11,paris 75,Computer Science,
27293,utn,master degree in technology management,06/13,buenos aires,Other Education,
27293,stanislas,preparatory classes for nation wide exam in mathematics and physics,09/08,paris 75,Mathematics,
27294,school of visual arts,bachelor s in graphic design,09/12,"new york, ny",Other Education,
27294,raritan valley community college,associate s in fine arts,09/09,"branchburg, nj",Other Education,
27295,virginia polytechnic institute and state university,bachelor of science in economics,,"blacksburg, va",General Science,
27296,university of santa maria,bachelor of science in telecommunications engineering,2005/09,"caracas, distrito capital",General Science,2005
27297,adekunle ajasin university,bachelor of arts in mass communication,05/2009,akungba,Other Education,2009
27297,ondo state,bachelor s in mass communication,05/2005,akungba,Other Education,2005
27298,st louis university,b.s. in business administration,,"st. louis, mo",Business Administration,
27299,central michigan university,bachelor of science in psychology and economics,,"mount pleasant, mi",General Science,
27300,itt-technical institute,as of computer drafting and design,08/2008,"san diego, ca",Other Education,2008
27301,university of houston,master of business administration in business administration,08/14,"houston, tx",Business Administration,
27301,university of houston,master of healthcare administration in healthcare administration,08/14,"houston, tx",Other Education,
27301,university of houston,bs in biology,08/10,"houston, tx",Other Education,
27302,university of phoenix,associates of arts in business management,08/2008,,Other Education,2008
27303,keller school of management,master s degree in information systems management,,,Other Education,
27303,devry institute of technology,bachelor s degree in computer information systems,,"decatur, ga",Other Education,
